BBL,Address,AllApps,grantedfullpart,grantedfull,Denied,CONH,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
1017300064,40 W 135TH ST,5,4,3,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
1017300075,470 LENOX AVE,5,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
1018600029,101 W 105TH ST,5,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1018600036,100 W 106TH ST,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018640039,412 W 110TH ST,5,5,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1018710061,820 TO 822 W END AVE,5,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1018730031,850 AMSTERDAM AVE,5,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
1020500118,63 HAMILTON TER,5,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1020750014,519 W 143RD ST,5,3,3,2,yes,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
1021150005,550 W 157TH ST,5,3,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1021190001,555 W 160TH ST,5,5,3,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
1021220058,561 W 163RD ST,5,3,2,2,yes,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1021420130,629 TO 639 W 173RD ST,5,5,4,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0
1021430056,601 W 174TH ST,5,3,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1021580010,556 TO 558 W 188TH ST,5,4,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1021620049,611 W 180TH ST,5,5,3,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
1021650004,624 W 182ND ST,5,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1021750113,19 DONGAN PL,5,3,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1021790099,499 FORT WASHINGTON AVE,5,5,3,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0
1021800157,725 W 184TH ST,5,4,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
1021800507,4455 BROADWAY,5,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1022150470,133 TO 143 W 225TH ST,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1022270023,248 SHERMAN AVE,5,4,4,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2025110022,939 WOODYCREST AVE,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
2025320015,1344 UNIVERSITY AVE,5,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0
2026230151,610 TRINITY AVE,5,5,3,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
2028040052,215 MOUNT HOPE PL,5,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2028080032,163 E 178TH ST,5,4,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2031590001,2300 GRAND CONCOURSE,5,4,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
2032190086,2432 WEBB AVE,5,4,3,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
2032280097,1945 LORING PL S,5,5,3,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0
2033020034,2908 TO 2910 VALENTINE AVE,5,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
2033520045,3371 TO 3373 DECATUR AVE,5,5,4,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
2045690039,3031 HOLLAND AVE,5,4,3,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
2047200001,3495 FENTON AVE,5,3,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
2047220012,3485 EASTCHESTER RD,5,4,4,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
2059500406,5410 TO 5450 NETHERLAND AVE,5,3,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3001860049,557 PACIFIC ST,5,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3001920030,542 PACIFIC ST,5,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
